processor_name,category,feat.total_cores,feat.total_threads,feat.max_turbo_ghz,feat.base_freq_ghz,feat.cache_mb,feat.base_power_w,feat.turbo_power_w,feat.price_usd,feat.max_mem_gb,feat.gfx_max_dyn_ghz,feat.execution_units,feat.vertical_segment,feat.freq_per_watt,feat.cores_per_watt,feat.cache_per_core
Intel® Core™ Ultra 9 Processor 288V (12M Cache- up to 5.10 GHz),Core_Ultra_Processors,8,8,5.1,2.4,12.0,30.0,37.0,1195.0,32.0,2.05,72.0,Mobile,0.16999999999999998,0.26666666666666666,1.5
Intel® Xeon® CPU Max 9480 Processor (112.5M Cache- 1.90 GHz),Xeon_Max_Processors,56,112,3.5,1.9,112.5,35.0,115.0,12980.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,2.0089285714285716
Intel® Xeon® CPU Max 9470 Processor (105M Cache- 2.00 GHz),Xeon_Max_Processors,52,104,3.5,2.0,105.0,35.0,115.0,11590.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,2.019230769230769
Intel® Xeon® CPU Max 9460 Processor (97.5M Cache- 2.20 GHz),Xeon_Max_Processors,40,80,3.5,2.2,97.5,35.0,115.0,8750.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,2.4375
Intel® Xeon® CPU Max 9468 Processor (105M Cache- 2.10 GHz),Xeon_Max_Processors,48,96,3.5,2.1,105.0,35.0,115.0,9900.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,2.1875
Intel® Xeon® CPU Max 9462 Processor (75M Cache- 2.70 GHz),Xeon_Max_Processors,32,64,3.5,2.7,75.0,35.0,115.0,7995.0,4.0,1.85,72.0,Server,0.14285714285714285,0.4,2.34375
Intel® Xeon® 6315P Processor (12M Cache- 2.80 GHz),Xeon_Processors,4,4,5.2,2.8,12.0,35.0,115.0,213.0,128.0,1.85,72.0,Server,0.14285714285714285,0.4,3.0
Intel® Xeon® 6325P Processor (12M Cache- 3.50 GHz),Xeon_Processors,4,8,5.2,3.5,12.0,35.0,115.0,281.0,128.0,1.85,72.0,Server,0.14285714285714285,0.4,3.0
Intel® Xeon® 6333P Processor (18M Cache- 3.10 GHz),Xeon_Processors,6,12,4.6,3.1,18.0,35.0,115.0,319.0,128.0,1.85,72.0,Server,0.14285714285714285,0.4,3.0
Intel® Xeon® 6337P Processor (18M Cache- 3.50 GHz),Xeon_Processors,6,12,5.3,3.5,18.0,35.0,115.0,375.0,128.0,1.85,72.0,Server,0.14285714285714285,0.4,3.0
